player_id,player_name,team_shortname,sprinting_events,avg_sprint_duration_secs,med_sprint_duration_secs,avg_sprint_distance_metres,total_sprint_distance_metres,passes,pass_success_pct,avg_pass_distance_m,avg_xthreat_targeted,pct_forward_passes,pct_lead_to_shot,shots,goals,conversion_pct,header_rate_pct,avg_shot_distance_m
965698,J. Brazete,Brisbane FC,,,,,,13,84.6,15.11,0.019,38.5,7.7,2,0,0.0,50.0,16.34
966112,A. Bugarija,Perth Glory,1,2.2,2.2,15.56,15.56,11,81.8,11.46,0.004,27.3,0.0,2,0,0.0,0.0,16.14
966114,A. Faisal,Perth Glory,4,4.8,4.2,34.87,139.47,15,66.7,10.59,0.032,26.7,13.3,1,0,0.0,0.0,21.5
966115,K. Ngo,Perth Glory,1,0.4,0.4,2.85,2.85,3,66.7,7.34,0.003,33.3,0.0,1,0,0.0,0.0,19.61
3443,F. Kurto,Macarthur FC,,,,,,21,66.7,29.9,0.001,76.2,0.0,,,,,
5805,K. Boli,Macarthur FC,1,3.4,3.4,24.02,24.02,55,78.2,18.2,0.001,47.3,0.0,,,,,
6799,M. Rojas,Wellington P FC,,,,,,11,72.7,10.86,0.021,54.5,0.0,,,,,
7698,M. Langerak,Melbourne V FC,,,,,,15,73.3,23.47,0.001,60.0,0.0,,,,,
9175,Roderick Miranda,Melbourne V FC,,,,,,30,86.7,22.36,0.003,63.3,3.3,,,,,
10549,T. Sainsbury,CC Mariners,1,5.0,5.0,38.17,38.17,39,76.9,15.41,0.003,59.0,2.6,,,,,
11895,M. Jurman,Macarthur FC,,,,,,30,73.3,15.28,0.002,63.3,0.0,,,,,
11897,J. Risdon,Perth Glory,3,3.63,3.6,26.61,79.83,39,64.1,15.61,0.013,43.6,2.6,,,,,
23930,S. Roux,CC Mariners,,,,,,44,63.6,13.38,0.007,45.5,2.3,,,,,
26095,A. Kuen,Melbourne City,3,3.6,3.3,25.73,77.18,30,60.0,11.02,0.022,20.0,3.3,,,,,
26766,B. Vriends,Adelaide United,1,3.6,3.6,27.68,27.68,51,86.3,15.47,0.001,54.9,0.0,,,,,
27003,K. Nagasawa,Wellington P FC,3,3.8,4.4,28.13,84.39,44,81.8,13.07,0.007,11.4,2.3,,,,,
28293,Léo Sena,Sydney FC,,,,,,91,91.2,14.78,0.005,57.1,5.5,,,,,
31147,T. Smith,Auckland FC,1,2.5,2.5,16.8,16.8,18,83.3,17.12,0.001,50.0,0.0,,,,,
34423,Mikael Doka,CC Mariners,5,3.02,2.5,21.71,108.54,20,90.0,18.13,0.003,40.0,0.0,,,,,
34718,J. Oluwayemi,Wellington P FC,,,,,,17,76.5,20.12,0.0,70.6,0.0,,,,,
42510,S. Wootton,Wellington P FC,,,,,,83,77.1,17.31,0.004,51.8,2.4,,,,,
50949,J. Barnett,Adelaide United,,,,,,37,83.8,12.6,0.004,59.5,5.4,,,,,
50971,Y. Dukuly,Adelaide United,3,1.23,1.6,9.05,27.15,8,87.5,13.21,0.024,12.5,12.5,,,,,
50978,C. Timmins,Newcastle,,,,,,37,78.4,9.87,0.003,37.8,2.7,,,,,
50979,B. Fornaroli,Melbourne V FC,,,,,,3,33.3,8.66,0.01,0.0,0.0,,,,,
50980,C. Ikonomidis,Macarthur FC,,,,,,9,44.4,16.83,0.009,11.1,11.1,,,,,
50982,R. Warland,Perth Glory,2,2.6,1.2,18.91,37.82,33,69.7,17.6,0.004,51.5,3.0,,,,,
50983,D. Ingham,Newcastle,3,1.97,1.5,14.76,44.27,45,68.9,13.41,0.009,44.4,2.2,,,,,
50999,M. Freke,Brisbane FC,,,,,,31,80.6,23.9,0.0,80.6,0.0,,,,,
51000,J. Courtney-Perkins,Sydney FC,6,1.52,1.2,11.09,66.53,90,80.0,14.5,0.007,36.7,2.2,,,,,
51006,T. Uskok,Macarthur FC,1,4.7,4.7,34.1,34.1,53,86.8,13.39,0.001,43.4,0.0,,,,,
51008,T. Imai,Western United,9,3.22,3.0,23.28,209.5,60,65.0,16.45,0.008,35.0,3.3,,,,,
51009,R. Scott,Newcastle,,,,,,18,77.8,12.65,0.0,55.6,0.0,,,,,
51013,B. Hamill,Melbourne V FC,2,2.3,0.0,17.82,35.64,37,70.3,16.47,0.002,56.8,0.0,,,,,
51017,T. Payne,Wellington P FC,15,2.29,1.7,16.87,253.02,48,64.6,13.17,0.022,35.4,10.4,,,,,
51039,N. Smith,CC Mariners,,,,,,15,66.7,13.06,0.002,26.7,0.0,,,,,
51044,L. Brattan,Macarthur FC,1,6.8,6.8,49.58,49.58,47,80.9,14.66,0.005,57.4,2.1,,,,,
51048,J. King,Sydney FC,2,3.05,1.8,22.14,44.28,61,78.7,15.91,0.002,60.7,0.0,,,,,
51050,B. Warland,Brisbane FC,,,,,,26,80.8,16.97,0.002,61.5,0.0,,,,,
51648,J. Hollman,Macarthur FC,1,2.5,2.5,17.05,17.05,16,81.3,12.99,0.019,18.8,6.3,,,,,
51655,L. Rose,Macarthur FC,,,,,,22,86.4,13.81,0.009,31.8,4.5,,,,,
51678,J. Duncan,Melbourne V FC,,,,,,13,69.2,24.39,0.001,84.6,0.0,,,,,
51685,L. Jackson,Melbourne V FC,2,1.35,0.0,10.75,21.49,100,78.0,16.61,0.002,64.0,1.0,,,,,
51690,R. Najjarine,Western United,1,3.4,3.4,24.43,24.43,6,83.3,18.75,0.118,50.0,66.7,,,,,
51694,T. Gomulka,Perth Glory,,,,,,35,74.3,11.3,0.004,60.0,5.7,,,,,
51713,C. Elliott,Auckland FC,5,1.46,1.5,10.76,53.78,65,75.4,13.68,0.006,38.5,3.1,,,,,
51714,R. Piscopo,Melbourne V FC,1,3.1,3.1,22.02,22.02,23,78.3,12.15,0.016,34.8,8.7,,,,,
69111,H. Bility,Brisbane FC,,,,,,66,90.9,14.97,0.001,47.0,0.0,,,,,
159938,S. Colakovski,Wellington P FC,6,3.02,2.8,22.87,137.22,10,40.0,21.74,0.012,20.0,0.0,,,,,
159946,M. Sutton,Western United,,,,,,77,90.9,18.57,0.0,61.0,0.0,,,,,
176224,P. Cancar,Newcastle,1,1.6,1.6,11.5,11.5,55,92.7,16.08,0.001,43.6,1.8,,,,,
179963,P. Makrillos,Macarthur FC,2,1.75,1.6,12.54,25.08,9,77.8,13.41,0.004,44.4,0.0,,,,,
285188,A. Paulsen,Auckland FC,,,,,,71,83.1,20.0,0.0,77.5,0.0,,,,,
287934,Walid Shour,Brisbane FC,3,1.53,1.3,10.64,31.93,70,91.4,12.71,0.004,35.7,5.7,,,,,
330380,D. Herrington,CC Mariners,,,,,,7,57.1,15.52,0.0,42.9,0.0,,,,,
333110,N. Acosta,Brisbane FC,,,,,,13,100.0,13.23,0.014,15.4,23.1,,,,,
560882,F. Bérenguer,Brisbane FC,,,,,,35,85.7,14.96,0.011,34.3,17.1,,,,,
560894,A. Popovic,Sydney FC,,,,,,62,77.4,16.74,0.004,62.9,1.6,,,,,
560983,A. Burke-Gilroy,Brisbane FC,5,0.9,1.1,6.02,30.12,49,91.8,15.21,0.01,34.7,10.2,,,,,
560985,C. Cook,Perth Glory,,,,,,28,57.1,32.97,0.001,89.3,0.0,,,,,
560987,T. Ostler,Perth Glory,4,2.95,1.5,20.56,82.23,22,81.8,16.31,0.031,18.2,13.6,,,,,
560988,N. Blair,Perth Glory,1,2.5,2.5,18.66,18.66,4,75.0,9.81,0.031,25.0,0.0,,,,,
560989,T. Mrčela,Perth Glory,,,,,,39,89.7,13.21,0.0,33.3,0.0,,,,,
698141,L. Kelly-Heald,Wellington P FC,,,,,,13,69.2,13.15,0.005,53.8,0.0,,,,,
698142,F. Conchie,Wellington P FC,,,,,,1,100.0,13.81,0.0,100.0,0.0,,,,,
735573,T. Aquilina,Newcastle,6,2.25,2.4,16.39,98.32,22,81.8,9.49,0.006,22.7,4.5,,,,,
735574,K. Grozos,Newcastle,2,2.65,1.1,18.74,37.47,45,86.7,13.14,0.002,37.8,6.7,,,,,
771856,B. Mazzeo,Melbourne City,4,2.93,2.3,20.79,83.15,15,86.7,11.15,0.032,13.3,13.3,,,,,
771857,H. Politidis,Melbourne City,5,3.26,3.6,23.73,118.64,26,84.6,10.6,0.016,15.4,11.5,,,,,
771859,P. Beach,Melbourne City,,,,,,111,94.6,16.85,0.0,62.2,0.0,,,,,
771861,Z. Schreiber,Melbourne City,,,,,,66,83.3,12.94,0.002,21.2,3.0,,,,,
795151,M. Memeti,Melbourne City,3,3.7,3.8,25.81,77.44,3,100.0,10.11,0.017,0.0,33.3,,,,,
795507,L. Bayliss,Newcastle,4,1.93,1.0,13.82,55.29,15,80.0,13.5,0.014,20.0,6.7,,,,,
795508,H. Steele,CC Mariners,1,0.9,0.9,5.75,5.75,30,80.0,11.38,0.003,30.0,0.0,,,,,
795509,C. Theoharous,CC Mariners,1,0.0,0.0,0.0,0.0,10,60.0,22.72,0.028,30.0,0.0,,,,,
795510,B. Kaltak,CC Mariners,,,,,,45,77.8,21.05,0.002,62.2,0.0,,,,,
795516,Y. Nicolaou,Macarthur FC,,,,,,3,66.7,8.41,0.001,33.3,0.0,,,,,
795521,A. Badolato,Melbourne V FC,,,,,,18,66.7,12.53,0.014,27.8,11.1,,,,,
795533,J. Carluccio,Perth Glory,,,,,,7,71.4,11.13,0.01,57.1,14.3,,,,,
795537,T. Waddingham,Brisbane FC,3,4.17,3.9,28.71,86.12,6,83.3,8.76,0.042,16.7,33.3,,,,,
795544,W. Kamijo,Sydney FC,,,,,,43,67.4,11.09,0.006,44.2,7.0,,,,,
796012,F. Monge,Melbourne V FC,2,4.4,4.2,32.2,64.4,4,50.0,7.62,0.003,75.0,0.0,,,,,
797297,M. Scarcella,Newcastle,,,,,,9,88.9,11.34,0.002,33.3,0.0,,,,,
799091,O. Van Hattum,Wellington P FC,2,1.55,0.9,11.16,22.32,3,66.7,13.31,0.062,0.0,0.0,,,,,
799453,N. Walker,Wellington P FC,1,0.0,0.0,0.0,0.0,5,60.0,17.95,0.026,60.0,0.0,,,,,
800320,J. Vidic,Newcastle,1,1.6,1.6,10.4,10.4,,,,,,,,,,,
808580,K. Adamson,Macarthur FC,5,3.86,3.5,28.11,140.56,41,75.6,12.36,0.008,34.1,0.0,,,,,
808608,A. Ayoubi,Adelaide United,1,4.2,4.2,31.36,31.36,6,50.0,9.25,0.074,33.3,33.3,,,,,
808609,B. Brandtman,CC Mariners,,,,,,13,84.6,11.64,0.002,7.7,0.0,,,,,
809070,E. Cox,Adelaide United,,,,,,31,77.4,13.58,0.0,74.2,0.0,,,,,
809670,J. Lauton,Western United,2,1.65,0.0,11.25,22.5,22,68.2,9.91,0.013,68.2,4.5,,,,,
809869,J. Anasmo,Perth Glory,3,2.0,2.1,13.72,41.17,1,100.0,9.56,0.003,0.0,0.0,,,,,
813317,T. Quintal,Sydney FC,2,3.3,2.5,22.62,45.24,7,100.0,7.86,0.009,71.4,14.3,,,,,
923862,D. Peraic-Cullen,CC Mariners,,,,,,15,53.3,25.33,0.001,86.7,0.0,,,,,
931987,H. Devenish-Meares,Sydney FC,,,,,,49,83.7,21.68,0.001,75.5,0.0,,,,,
